Title,URL of resource,Description,Year published,Resource Format (open data),Resource Format (tools and applications),Resource Format (case study),Resource type,Name of resource's point of contact,Organization of point of contact,Email of resource's point of contact,Social Inclusion Tags,Peace Processes,Safe Environments Tags,Civil Society Tags,State Institution Tags,Economic Foundations Tags
"Feed the Future Nepal Baseline Household Survey, Household File",https://catalog.data.gov/dataset/feed-the-future-nepal-baseline-household-survey-household-file-a5f78,"The Nepal Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in 20 districts across the western, mid-western and far-western development regions of the country.  This data is a household level file.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Tajikistan Zone of Influence Population Based Survey, Women's Empowerment in Agriculture Index-File 1",https://catalog.data.gov/dataset/feed-the-future-tajikistan-zone-of-influence-population-based-survey-womens-empowerment-in-728fd,"The baseline survey in Tajikistan captures data in the Feed the Future Zones of Influence (ZOI), comprised of 12 of the 24 districts in Khatlon province. A total of 2,000 households in the ZOI were surveyed for the PBS data collection activity. These households are spread across 100 standard enumeration areas in the targeted districts. The survey is comprised of ten CSV files: a children's file, a household-level file, a household member level file, a women's file, several files describing consumption, and two files used to construct the Women's Empowerment in Agriculture Index. This dataset is the first of two datasets needed to calculate the WEAI-related measures. It contains Module G data from the primary adult (18+) female decisionmaker within each household (for the sub-sample of households with a primary adult female decisionmaker).",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
Feed the Future Mozambique Baseline Population Survey,https://catalog.data.gov/dataset/feed-the-future-mozambique-baseline-population-survey,"The Mozambique Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in two provinces, Zambizia and Nampula.  These areas were selected based on national estimates that indicate that the incidence of poverty, malnutrition, and stunting among children less than five years of age is disproportionately high.  These provinces are adjacent to three of the country's main trade corridors: Nacala (linking Mozambique to Malawi and Zambia), Beira (linking Mozambique to Zimbabwe), and the N1 (key North-South road connecting Nacala and Beira corridors). The PBS was conducted in 2013 with a focus on Household Hunger; Women's Dietary Diversity; Children's Minimum Acceptable Diet;WEAI (Women's Empowerment in Agriculture Index);and Household Expenditure in the two provinces.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
Feed The Future Zambia Baseline Population Based Survey: Household Members,https://catalog.data.gov/dataset/feed-the-future-zambia-baseline-population-based-survey-household-members-2262a,"The Zambia Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in five districts — Chipata, Katete, Lundazi, Nyimba, and Petauke in Zambia.  This dataset contains information members of the households surveyed.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Mozambique Baseline Population Survey, Members of the Household",https://catalog.data.gov/dataset/feed-the-future-mozambique-baseline-population-survey-members-of-the-household-3a235,"The Mozambique Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in two provinces, Zambizia and Nampula. These areas were selected based on national estimates that indicate that the incidence of poverty, malnutrition, and stunting among children less than five years of age is disproportionately high. These provinces are adjacent to three of the country's main trade corridors: Nacala (linking Mozambique to Malawi and Zambia), Beira (linking Mozambique to Zimbabwe), and the N1 (key North-South road connecting Nacala and Beira corridors). This spreadsheet describes the members of the households surveyed.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Mozambique Baseline Population Survey, Household Data",https://catalog.data.gov/dataset/feed-the-future-mozambique-baseline-population-survey-household-data-81108,"The Mozambique Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in two provinces, Zambizia and Nampula. These areas were selected based on national estimates that indicate that the incidence of poverty, malnutrition, and stunting among children less than five years of age is disproportionately high. These provinces are adjacent to three of the country's main trade corridors: Nacala (linking Mozambique to Malawi and Zambia), Beira (linking Mozambique to Zimbabwe), and the N1 (key North-South road connecting Nacala and Beira corridors). This spreadsheet describes the households surveyed.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Mozambique Baseline Population Survey, Non-Food Consumption",https://catalog.data.gov/dataset/feed-the-future-mozambique-baseline-population-survey-non-food-consumption-dd8d2,"The Mozambique Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in two provinces, Zambizia and Nampula. These areas were selected based on national estimates that indicate that the incidence of poverty, malnutrition, and stunting among children less than five years of age is disproportionately high. These provinces are adjacent to three of the country's main trade corridors: Nacala (linking Mozambique to Malawi and Zambia), Beira (linking Mozambique to Zimbabwe), and the N1 (key North-South road connecting Nacala and Beira corridors). This spreadsheet describes non-food consumption by the household.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed The Future Rwanda Baseline Household Survey, Women's Empowerment in Agriculture Index-Household Decision Making",https://catalog.data.gov/dataset/feed-the-future-rwanda-baseline-household-survey-womens-empowerment-in-agriculture-index-h-68b78,"The Rwanda Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in almost the entire country, including all four provinces and all of rural Rwanda. This dataset is one of two datasets needed to calculate the WEAI-related measures.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Malawi: Baseline Household Survey, the Calculated Women's Empowerment in Agriculture Index",https://catalog.data.gov/dataset/feed-the-future-malawi-baseline-household-survey-the-calculated-womens-empowerment-in-agri-60651,"This dataset contains variables making up the Women's Empowerment in Agriculture Index (WEAI) for the women that participated in this baseline survey.  The spreadsheet has 20 columns and 34,033 rows.  The Malawi Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in seven districts in the Central and Southern Regions: Mchinji, Lilongwe, Dedza, Ntcheu, Balaka, Machinga, and Mangochi.  The PBS was conducted from November 14 to December 22, 2012.  The overall objective of the survey is to provide baseline on data living standards, nutritional status, and women's empowerment in agriculture in the Zone Of Influence.  A total of 3,397 households in the ZOI were interviewed for the PBS, and these households were spread across 126 rural standard enumeration areas (SEAs) in the seven districts.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Nepal Baseline Household Survey, Women's Empowerment in Agriculture Index-Household File",https://catalog.data.gov/dataset/feed-the-future-nepal-baseline-household-survey-womens-empowerment-in-agriculture-index-ho-d0bb4,"The Nepal Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in 20 districts across the western, mid-western and far-western development regions of the country.  This file reports household level data from the Women's Empowerment in Agriculture Index (WEAI).  The WEAI measures the empowerment, agency, and inclusion of women in the agriculture sector in an effort to identify and address the constraints that limit women’s full engagement in the agriculture sector.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Tajikistan Zone of Influence Population Based Survey, Household Consumption Expenditures",https://catalog.data.gov/dataset/feed-the-future-tajikistan-zone-of-influence-population-based-survey-household-consumption-7993e,"The baseline survey in Tajikistan captures data in the Feed the Future Zones of Influence (ZOI), comprised of 12 of the 24 districts in Khatlon province. A total of 2,000 households in the ZOI were surveyed for the PBS data collection activity. These households are spread across 100 standard enumeration areas in the targeted districts. The survey is comprised of ten CSV files: a children's file, a household-level file, a household member level file, a women's file, several files describing consumption, and two files used to construct the Women's Empowerment in Agriculture Index. This dataset contains variables from Module E, the Household Consumption Expenditures module used to calculate poverty and expenditure indicators.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Tajikistan Zone of Influence Population Based Survey, Women's Empowerment in Agriculture Index-Household File",https://catalog.data.gov/dataset/feed-the-future-tajikistan-zone-of-influence-population-based-survey-womens-empowerment-in-28451,"The baseline survey in Tajikistan captures data in the Feed the Future Zones of Influence (ZOI), comprised of 12 of the 24 districts in Khatlon province. A total of 2,000 households in the ZOI were surveyed for the PBS data collection activity. These households are spread across 100 standard enumeration areas in the targeted districts. The survey is comprised of ten CSV files: a children's file, a household-level file, a household member level file, a women's file, several files describing consumption, and two files used to construct the Women's Empowerment in Agriculture Index.  This file reports household level data from the Women's Empowerment in Agriculture Index (WEAI). The WEAI measures the empowerment, agency, and inclusion of women in the agriculture sector in an effort to identify and address the constraints that limit women’s full engagement in the agriculture sector.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"Feed the Future Mozambique Baseline Population Survey, Food Consumption",https://catalog.data.gov/dataset/feed-the-future-mozambique-baseline-population-survey-food-consumption-e8c17,"The Mozambique Population-Based Survey (PBS) provides a comprehensive assessment of the current status of agriculture and food security in two provinces, Zambizia and Nampula. These areas were selected based on national estimates that indicate that the incidence of poverty, malnutrition, and stunting among children less than five years of age is disproportionately high. These provinces are adjacent to three of the country's main trade corridors: Nacala (linking Mozambique to Malawi and Zambia), Beira (linking Mozambique to Zimbabwe), and the N1 (key North-South road connecting Nacala and Beira corridors). This spreadsheet describes food consumption by the household in the seven days before the survey.",2024,,,,Open Data,,data.usaid.gov,no-reply@data.usaid.gov,Gender equality behaviour change,,,,,
"August 1976 Moro Gulf, Philippines Images",https://catalog.data.gov/dataset/august-1976-moro-gulf-philippines-images2,"On August 16, 1976, at 16:11:07 UTC, a magnitude (Mw) 8.0 earthquake shook Mindanao Island in the Philippines. It caused a destructive tsunami in the Celebes Sea that devastated settlements along the coast of Moro Gulf on Mindanao Island, Zamboanga Peninsula and Sulu Islands. As a result of the earthquake and tsunami 4,000 to 8,000 persons were killed or missing, 10,000 were injured, and 90,000 were left homeless. 85% of the casualties may be attributed to the tsunami.",2024,,,,Open Data,,NOAA National Centers for Environmental Information (Point of Contact),haz.info@noaa.gov,,,,,,Infrastructure development and reconstruction
"FERC Form 1 Electric Utility Cost, Energy Sales, Peak Demand, and Customer Count Data 1994-2019",https://catalog.data.gov/dataset/ferc-form-1-electric-utility-cost-energy-sales-peak-demand-and-customer-count-data-1994-20,"This spreadsheet contains information reported by over 200 investor-owned utilities to the Federal Energy Regulatory Commission in the annual filing FERC Form 1 for the years 1994-2019. It contains 1) annual capital costs for new transmission, distribution, and administrative infrastructure; 2) annual operation and maintenance costs for transmission, distribution, and utility business administration; 3) total annual MWh sales and sales by customer class; 4) annual peak demand in MW; and 5) total customer count and the number of customers by class.Annual spending on new capital infrastructure is read from pages 204 to 207 of FERC Form 1, titled Electric Plant in Service. Annual transmission capital additions are recorded from Line 58, Column C - Total Transmission Plant Additions. Likewise, annual distribution capital additions are recorded from Line 75, Column C - Total Distribution Plant Additions. Administrative capital additions are recorded from Line 5, Column C - Total Intangible Plant Additions, and Line 99, Column C - Total General Plant Additions.Operation and maintenance costs associated with transmission, distribution, and utility administration are read from pages 320 to 323 of FERC Form 1, titled Electric Operation and Maintenance Expenses. Annual transmission operation and maintenance are recorded from Line 99, Column B - Total Transmission Operation Expenses for Current Year, and Line 111, Column B - Total Transmission Maintenance Expenses for Current Year. Likewise, annual distribution operation and maintenance costs are recorded from Line 144, Column B - Total Distribution Operation Expenses, and Line 155, Column B - Total Distribution Maintenance Expenses. Administrative operation and maintenance costs are recorded from: Line 164, Column B - Total Customers Accounts Expenses; Line 171, Column B - Total Customer Service and Information Expenses; Line 178, Column B - Total Sales Expenses; and Line 197, Column B - Total Administrative and General Expenses.The annual peak demand in MW over the year is read from page 401, titled Monthly Peaks and Output. The monthly peak demand is listed in Lines 29 to 40, Column D. The maximum of these monthly reports during each year is taken as the annual peak demand in MW. The annual energy sales and customer count data come from page 300, Electric Operating Revenues. The values are provided in Line 2 - Residential Sales, Line 4 - Commercial Sales, Line 5 - Industrial Sales, and Line 10 - Total Sales to Ultimate Consumers.More information about the database is available in an associated report published by the University of Texas at Austin Energy Institute:https://live-energy-institute.pantheonsite.io/sites/default/files/UTAustin_FCe_TDA_2016.pdfAlso see an associated paper published in the journalEnergy Policy:Fares, Robert L., and Carey W. King. ""Trends in transmission, distribution, and administration costs for US investor-owned electric utilities.""Energy Policy105 (2017): 354-362.https://doi.org/10.1016/j.enpol.2017.02.036All data come from the Federal Energy Regulatory Commission FERC Form 1 Database available in Microsoft Visual FoxPro Format:https://www.ferc.gov/docs-filing/forms/form-1/data.asp",2024,,,,Open Data,,National Renewable Energy Laboratory,robertfares@gmail.com,,,,,,Infrastructure development and reconstruction
Freight Analysis Framework,https://catalog.data.gov/dataset/freight-analysis-framework,"The Freight Analysis Framework (FAF) integrates data from a variety of sources to create a comprehensive picture of freight movement among states and major metropolitan areas by all modes of transportation. With data from the 2007 Commodity Flow Survey and additional sources, FAF version 3 (FAF3) provides estimates for tonnage, value, and domestic ton-miles by region of origin and destination, commodity type, and mode for 2007, the most recent year, and forecasts through 2040. Also included are state-to-state flows for these years plus 1997 and 2002, summary statistics, and flows by truck assigned to the highway network for 2007 and 2040.",2024,,,,Open Data,,Federal Highway Administration,Highway-Data@dot.gov,,,,,,Infrastructure development and reconstruction
Broadband Adoption and Infrastructure by Zip Code,https://catalog.data.gov/dataset/broadband-adoption-and-infrastructure-by-zip-code,"Key indicators of broadband adoption, service and infrastructure in New York City by Zip Code.",2023,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,,,Infrastructure development and reconstruction
Submarine Cable Areas - U.S. and Affiliated Territories,https://catalog.data.gov/dataset/submarine-cable-areas-u-s-and-affiliated-territories,"These data show the general location of commercial and research submarine cables within U.S. waters. The majority of these cables are for telecommunications, and the remaining are for power transmission. The geographic footprint for each cable may vary and is dependent on the original source data. In the nearshore, cables are routinely buried below the seabed. In the offshore, they are placed directly on the seabed. A submarine cable area may contain one or more physical cables. 30 CFR 585.301 defines a minimum 100-foot-wide right of way grant on each side of a cable.",2024,,,,Open Data,,NOAA Office for Coastal Management (OCM) (Point of Contact),coastal.info@noaa.gov,,,,,,Infrastructure development and reconstruction
DOE User-Facilities and R&D Equipment,https://catalog.data.gov/dataset/doe-user-facilities-and-rd-equipment,This dataset contains information about hundreds of designated user-facilities and R&D equipment funded by the U.S. Department of Energy and accessible to the private sector. These facilities reside at DOE's National Laboratories throughout the United States and are meant to advance scientific research and accelerated technology commercialization.,2021,,,,Open Data,,DOE Office of Science,Benjamin.Brown@science.doe.gov,,,,,,Infrastructure development and reconstruction
Offshore Wind - Substations (Proposed or Installed),https://catalog.data.gov/dataset/offshore-wind-substations-proposed-or-installed,"MetadataThese data contain both proposed and installed power substations. Substations can be within the offshore lease area or onshore. Offshore substations receive power from wind turbine facilities via electric cables and act as a collector to transport the electricity to the export cable and to onshore substations. Proposed project design, review, and permitting is an iterative process, so the final design and buildout of the substations is subject to change. The data may represent different alternative options to be reviewed and the final plan may vary from what is presented here. These data will be updated as new publicly available information is released. Data are provided by the lessee for project planning review and permitting uses.",2024,,,,Open Data,,Bureau of Ocean Energy Management,geoseas@boem.gov,,,,,,Infrastructure development and reconstruction
Offshore Wind - Turbine Locations (Proposed or Installed),https://catalog.data.gov/dataset/offshore-wind-turbine-locations-proposed-or-installed-de756,"MetadataThis dataset shows proposed and installed wind turbine locations. Until installed, all proposed locations and turbine specifications are subject to change. For the proposed locations, in most cases, the full arrays of turbines shown are the maximum proposed build out within the individual design envelope of the project. In some cases, more than one proposed layout is provided. If no specific configuration option is shown in the attributes, then all the locations are considered the preferred option. These data are subject to change and will be updated as new publicly available information is released. Data are provided by the lessee for project planning review and permitting uses.",2024,,,,Open Data,,Bureau of Ocean Energy Management,geoseas@boem.gov,,,,,,Infrastructure development and reconstruction
"June 1992 Mount Spurr, USA Images",https://catalog.data.gov/dataset/june-1992-mount-spurr-usa-images2,"Following 39 years of inactivity, Crater Peak vent on the south flank of Mount Spurr volcano burst into eruption at 7:04 a.m. Alaska daylight time (ADT) on June 27, 1992. The Municipality of Anchorage reported nearly $2 million in damage, office closures, and cleanup costs from the August eruption. In addition, there were numerous, small-scale losses incurred by businesses. No loss of life resulted directly from the eruptions. However, two heart attacks, one fatal, from shoveling ashfall were reported in Anchorage.",2024,,,,Open Data,,NOAA National Centers for Environmental Information (Point of Contact),haz.info@noaa.gov,,,,,,Infrastructure development and reconstruction
PV Rooftop Database,https://catalog.data.gov/dataset/pv-rooftop-dataset,"The National Renewable Energy Laboratory's (NREL) Photovoltaic (PV) Rooftop Database (PVRDB) is a lidar-derived, geospatially-resolved dataset of suitable roof surfaces and their PV technical potential for 128 metropolitan regions in the United States. The PVRDB data are organized by city and year of lidar collection. Five geospatial layers are available for each city and year: 1) the raster extent of the lidar collection, 2) buildings identified from the lidar data, 3) suitable developable planes for each building, 4) aspect values of the developable planes, and 5) the technical potential estimates of the developable planes.",2024,,,,Open Data,,National Renewable Energy Laboratory (NREL),meghan.mooney@nrel.gov,,,,,,Infrastructure development and reconstruction
OneNYC 2050 (Historical),https://catalog.data.gov/dataset/onenyc-2050,"This dataset contains the indicators included in the OneNYC 2050 Strategic Plan that will be used to assess progress in achieving the eight overreaching goals of the plan: (1) Vibrant Democracy; (2) Inclusive Economy; (3) Thriving Neighborhoods; (4) Healthy Lives; (5) Equity and Excellence in Education; (6) Livable Climate; (7) Efficient Mobility; and (8) Modern Infrastructure. Each line of data provides the goal, the relevant sub-initiative, the indicator, the baseline year and value for the indicator and the goal. Data is collected by the Mayor’s Office of Operations from the relevant agency.",2023,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,,,Infrastructure development and reconstruction
Capital Projects,https://catalog.data.gov/dataset/capital-projects,"All major infrastructure and information technology projects with a budget of $25 million or more that are currently active (in the design, procurement, or construction phase).",2023,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,,,Infrastructure development and reconstruction
Rail and Pedestrian Bridges,https://catalog.data.gov/dataset/rail-and-pedestrian-bridges,This file contains line data for pedestrian and rail bridges from AASHTO Bridge Management database.,2025,,,,Open Data,,"City of Washington, DC",gisgroup@dc.gov,,,,,,Infrastructure development and reconstruction
Community Development Block Grant (CDBG) Contracts,https://catalog.data.gov/dataset/community-development-block-grant-cdbg-contracts,"Listing of open and closed CDBG contracts between NYS Homes & Community Renewal’s Office of Community Renewal and grant recipients. Details include contract number, project name, project type, activity, contract amount, grant recipient, county, municipality and contract status, for the Community Development Block Grant (CDBG) Program.",2021,,,,Open Data,,data.ny.gov,no-reply@data.ny.gov,,,,,,Infrastructure development and reconstruction
USGS Digital Orthophoto Quadrangles,https://catalog.data.gov/dataset/usgs-digital-orthophoto-quadrangles,"A Digital Orthophoto Quadrangle (DOQ) is a computer-generated image of an aerial photograph in which the image displacement caused by terrain relief and camera tilt has been removed. The DOQ combines the image characteristics of the original photograph with the georeferenced qualities of a map.DOQs are black and white (B/W), natural color, or color-infrared (CIR) images with 1-meter ground resolution.The USGS produces three types of DOQs:3.75-minute (quarter-quad) DOQs cover an area measuring 3.75-minutes longitude by 3.75-minutes latitude. Most of the U.S. is currently available, and the remaining locations should be complete by 2004. Quarter-quad DOQs are available in both Native and GeoTIFF formats. Native format consists of an ASCII keyword header followed by a series of 8-bit binary image lines for B/W and 24-bit band-interleaved-by-pixel (BIP) for color. DOQs in native format are cast to the Universal Transverse Mercator (UTM) projection and referenced to either the North American Datum (NAD) of 1927 (NAD27) or the NAD of 1983 (NAD83). GeoTIFF format consists of a georeferenced Tagged Image File Format (TIFF), with all geographic referencing information embedded within the .tif file. DOQs in GeoTIFF format are cast to the UTM projection and referenced to NAD83. The average file size of a B/W quarter quad is 40-45 megabytes, and a color file is generally 140-150 megabytes. Quarter-quad DOQs are distributed via File Transfer Protocol (FTP) as uncompressed files.7.5-minute (full-quad) DOQs cover an area measuring 7.5-minutes longitude by 7.5-minutes latitude. Full-quad DOQs are mostly available for Oregon, Washington, and Alaska. Limited coverage may also be available for other states. Full-quad DOQs are available in both Native and GeoTIFF formats. Native is formatted with an ASCII keyword header followed by a series of 8-bit binary image lines for B/W. DOQs in native format are cast to the UTM projection and referenced to either NAD27 or NAD83. GeoTIFF is a georeferenced Tagged Image File Format with referencing information embedded within the .tif file. DOQs in GeoTIFF format are cast to the UTM projection and referenced to NAD83. The average file size of a B/W full quad is 140-150 megabytes. Full-quad DOQs are distributed via FTP as uncompressed files.Seamless DOQs are available for free download from the Seamless site. DOQs on this site are the most current version and are available for the conterminous U.S.[Summary provided by the USGS.]",2025,,,,Open Data,,DOI/USGS/EROS,lta@usgs.gov,,,,,,Infrastructure development and reconstruction
New York City Council Capital Budget,https://catalog.data.gov/dataset/new-york-city-council-capital-budget,"The dataset reflects funded applications for capital funding allocated by the New York City Council.Each year, Members of the Council allocate funds to not-for-profit organizations for capital projects that will continue to serve a City purpose (i.e. ""limited to the purposes set forth in the New York City Charter"" according to Directive 10 from the Office of the Comptroller) for the project's entire useful life. These projects can involve property (acquisition, construction or reconstruction), or moveable property (equipment, furniture, or vehicles).Recipients of capital funding must:
• hold not for profit status;
• must already hold contracts with the city, with different contract requirements depending on funding type;
• use the grant for stated capital investments at the location of the application.Organizations must submit their Request Forms online via CapGrants.For information on the process see:https://www.nyc.gov/site/capitalgrants/guidelines/guidelines.pageFor Directive 10 from the Office of the Comptroller see:https://www.nyc.gov/assets/ddc/downloads/not-for-profit/Directive-10-Charges-to-the-Capital-Projects-Fund-Final%20-%20June%202019.pdfRecipients of capital funding must:
• hold not for profit status;
• must already hold contracts with the city, with different contract requirements depending on funding type;
• use the grant for stated capital investments at the location of the application.Organizations must submit their Request Forms online via CapGrants.For more information on the process see: hhttps://www.nyc.gov/site/capitalgrants/guidelines/guidelines.page",2025,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,,,Infrastructure development and reconstruction
"May 1960 Puerto Montt, Valdivia, Chile Images",https://catalog.data.gov/dataset/may-1960-puerto-montt-valdivia-chile-images2,"On May 22, 1960, a Mw 9.5 earthquake, the largest earthquake ever instrumentally recorded, occurred in southern Chile. The series of earthquakes that followed ravaged southern Chile and ruptured over a period of days a 1,000 km section of the fault, one of the longest ruptures ever reported. The number of fatalities associated with both the earthquake and tsunami has been estimated to be between 490 and 5,700. Reportedly there were 3,000 injured, and initially there were 717 missing in Chile. The Chilean government estimated 2,000,000 people were left homeless and 58,622 houses were completely destroyed. Damage (including tsunami damage) was more than $500 million U.S. dollars.",2024,,,,Open Data,,NOAA National Centers for Environmental Information (Point of Contact),haz.info@noaa.gov,,,,,,Infrastructure development and reconstruction
"November 1952 Kamchatka Peninsula, Russia Images",https://catalog.data.gov/dataset/november-1952-kamchatka-peninsula-russia-images2,"The tsunami was generated by a magnitude 9.0 (Mw) earthquake on Kamchatka where it caused severe damage. The tsunami then struck Midway (3,000 kilometers away), the Hawaiian Islands (5,200 kilometers away), and other areas in the Pacific.",2024,,,,Open Data,,NOAA National Centers for Environmental Information (Point of Contact),haz.info@noaa.gov,,,,,,Infrastructure development and reconstruction
Universal Solicitation for Broadband Asset Dataset,https://catalog.data.gov/dataset/universal-solicitation-for-broadband-asset-list,"List of existing City and City Partner assets for the Universal Solicitation of Broadband (USB).Data Limitations: Data accuracy is limited as of the date of publication and by the methodology and accuracy of the original sources. The City shall not be liable for any costs related to, or in reliance of, the data contained in these datasets.",2023,,,,Open Data,,data.cityofnewyork.us,no-reply@data.cityofnewyork.us,,,,,,Infrastructure development and reconstruction
"Building Footprints - Ofu, American Samoa",https://catalog.data.gov/dataset/building-footprints-ofu-american-samoa,"Building footprints of Ofu, American Samoa.",2025,,,,Open Data,,Pacific Disaster Center (PDC) (Point of Contact),info@pdc.org,,,,,,Infrastructure development and reconstruction
"The Interpersonal Conflict and Resolution (iCOR) Study, United States, 2016-2018",https://catalog.data.gov/dataset/the-interpersonal-conflict-and-resolution-icor-study-united-states-2016-2018-b0feb,"These data are part of NACJD's Fast Track Release and are distributed as they were received from the data depositor. The files were zipped by NACJD for release, but not checked or processed except for the removal of direct identifiers. Users should refer to the accompanying readme file for a brief description of the files available with this collection and consult the investigator(s) if further information is needed.
This study was designed to determine the nature, incidence, and coincidence of forms of interpersonal conflict and resulting conflict management styles, including physical violence, in an existing nationally-representative cohort of 18 to 32 year old adults between the years 2016 to 2018. Respondent reports of conflicts involving aggressive and violent behavior were distinguished for three relationship categories: intimate partner relationships, friends/acquaintances, and relatively unknown persons/strangers.
The research design covered questions about the nature and frequency of conflicts experienced irrespective of whether the incidents ended violently; conflict management style/tendencies (remedial actions, apologies, accounts); and differences between conflicts that turn violent and those that do not. Additional questions covered include the frequency of violence during the course of disputes, including experiences with physical victimization and the perpetration of violent acts was assessed.
Also elements that facilitate conflict escalation that are deemed important theoretical constructs in research on aggression, such as adverse childhood events, low self-control, negative affect, street code attitudes, routine activities/lifestyles, agreeableness, and alcohol and drug use, in addition to demographic and other person-level variables were investigated.iCOR.Wave1.PRIME.sav (269 variables, 2284 cases)
iCOR.Wave2.PARTNER.sav (266 variables, 480 cases)
iCOR.Wave2.PRIME.sav (243 variables, 1629 cases)
iCOR.Wave3.PRIME.sav (243 variables, 1603 cases)",2025,,,,Open Data,,National Institute of Justice,opendata@usdoj.gov,Intergroup dialogues,,,,,
"Dating Abuse Prevention in Teens of Moms with Domestic Violence Protection Orders, North Carolina, 2010-2011",https://catalog.data.gov/dataset/dating-abuse-prevention-in-teens-of-moms-with-domestic-violence-protection-orders-nor-2010-84d5c,"These data are part of NACJD's Fast Track Release and are distributed as they were received from the data depositor. The files have been zipped by NACJD for release, but not checked or processed except for the removal of direct identifiers. Users should refer to the accompanying readme file for a brief description of the files available with this collection and consult the investigator(s) if further information is needed.
Children exposed to domestic violence are at increased risk of experiencing and perpetrating violence against their partners when they become adolescents and adults. Despite this increased risk and the fact that approximately 15 million children are exposed to domestic violence yearly, there have been no evaluated dating abuse prevention programs conducted specifically with this population. 
The collection contains 2 SAS data files: baseline_final.sas (n=51; 465 variables) and followup_final.sas (n=32; 463 variables).",2025,,,,Open Data,,National Institute of Justice,opendata@usdoj.gov,Intergroup dialogues,,,,,
"Evaluation of Violence Prevention Programs in Four New York City Middle Schools, 1993-1994",https://catalog.data.gov/dataset/evaluation-of-violence-prevention-programs-in-four-new-york-city-middle-schools-1993-1994-94250,"This research project sought to evaluate the impact of
 broad-based multifaceted violence prevention programs versus programs
 that have a more limited focus. Two specific programs were evaluated
 in four New York City middle schools. The more limited program used
 Project S.T.O.P.(Students Teaching Options for Peace), a conflict
 resolution and peer mediation training program. The full
 multi-faceted program combined Project S.T.O.P. with Safe Harbor, a
 program that provided victimization counseling and taught violence
 prevention. The effects of this combined program, offered in three of
 the middle schools, were compared to those of just the Project
 S.T.O.P. program alone in one middle school. To study the program
 models, researchers used a quasi-experimental pre-post design, with
 nonequivalent comparison groups. Questionnaires were given to students
 to assess the impact of the two programs. Students were asked about
 their knowledge and use of prevention programs in their schools. Data
 were also collected on students' history of victimization, such as
 whether they were ever attacked at school, stolen from, mugged, or
 threatened with a weapon. Students were also asked about their
 attitudes toward verbal abuse, victims of violence, and conditions
 when revenge is acceptable, and their exposure to violence, including
 whether they knew anyone who was sexually abused, beaten, or attacked
 because of race, gender, or sexual orientation. Additional questions
 covered students' use of aggressive behaviors, such as whether they
 had threatened someone with a weapon or had beaten, slapped, hit, or
 kicked someone. Data were also gathered on the accessibility of
 alcohol, various drugs, weapons, and stolen property. Demographic
 variables include students' school grade, class, sex, number of
brothers and sisters, and household composition.",2025,,,,Open Data,,National Institute of Justice,opendata@usdoj.gov,Intergroup dialogues,,,,,
